id,city,country,country_code,region,cen_lat,cen_lon,freshwater,coastal,forest,grasslands,mountains,peatlands,deserts,farmlands,income_group,pop_size_class,built_form_type
11517,"Shuangyashan","China","CHN","Asia",46.63253,131.1446,1,0,0,1,0,1,0,0,"UMIC","5. Between 100,000 and 500,000","Sprawl"
11518,"Chenjiafang","China","CHN","Asia",27.34662,111.6106,1,0,1,0,0,0,0,0,"UMIC","6. Lesser than 100,000","Sprawl"
11519,"Weifang","China","CHN","Asia",36.70127,119.1296,0,0,1,0,0,0,0,0,"UMIC","3. Between 1 and 5 million","Sprawl"
11520,"Zaozhuang","China","CHN","Asia",34.78793,117.2709,0,0,1,0,0,0,0,0,"UMIC","5. Between 100,000 and 500,000","Sprawl"
11521,"Huangchuan","China","CHN","Asia",32.13657,115.049,1,0,1,0,0,0,0,0,"UMIC","5. Between 100,000 and 500,000","Sprawl"
11522,"Guangshan","China","CHN","Asia",32.00464,114.9049,1,0,1,0,0,0,0,0,"UMIC","6. Lesser than 100,000","Sprawl"
11523,"Huishangang","China","CHN","Asia",28.28474,112.2516,1,0,1,0,0,0,0,0,"UMIC","6. Lesser than 100,000","Sprawl"
11524,"???","China","CHN","Asia",30.5597,113.8378,1,0,1,0,0,0,0,0,"UMIC","6. Lesser than 100,000","Sprawl"
11525,"Yangshi","China","CHN","Asia",27.61319,111.8301,1,0,1,0,0,0,0,0,"UMIC","6. Lesser than 100,000","Sprawl"
11526,"Huanan","China","CHN","Asia",46.23624,130.5554,1,0,1,0,0,0,0,0,"UMIC","6. Lesser than 100,000","Compact"
11527,"Qingyuan","China","CHN","Asia",42.09774,124.9292,1,0,1,0,0,0,0,0,"UMIC","6. Lesser than 100,000","Sprawl"
11528,"Xinhe","China","CHN","Asia",30.67313,113.927,1,0,1,0,0,0,0,0,"UMIC","6. Lesser than 100,000","Sprawl"
11529,"Xing'an","China","CHN","Asia",25.61968,110.6583,1,0,1,0,0,0,0,0,"UMIC","6. Lesser than 100,000","Sprawl"
