id,city,country,income_group,cen_lat,cen_lon,ave_pop_growth,ave_built_up_pc_growth,ave_temp_change,ave_built_quality_1_change,ave_built_quality_2_change,n_ave_pop_growth,n_ave_built_up_pc_growth,n_ave_built_quality_1_change,n_ave_built_quality_2_change,n_ave_temp_change,imp_pop_1,imp_pop_2
4150,"N/A","South Sudan","1. LIC",6.601099,29.88108,,,.3405609,,,,,,,-.2003725,,25394.7
4151,"Ruhango","Rwanda","1. LIC",-2.234149,29.78836,1.018795,1.011488,.4346585,,.9704046,.3667645,.2568426,,-.8251381,.0750821,.4428277,27384.57
4152,"Ngozi","Burundi","1. LIC",-2.90719,29.82131,,.9873215,.4158964,1.062946,.9458634,,-1.008222,1.179599,-2.535465,.0201593,,86896.15
4153,"Ntabandwa","Burundi","1. LIC",-3.149141,29.82042,,.9889719,.3828306,,,,-.9218225,,,-.0766352,,22865.31
4154,"Barah","Sudan","2. LMIC",13.6964,30.36556,1.027145,.9783472,.4029961,,,.971361,-1.478012,,,-.0176043,.4139355,97486.84
4155,"Naas","South Africa","3. UMIC",-25.67004,31.84285,1.018194,1.00661,.6633949,.9359244,.975682,.3232732,.0015083,-1.654034,-.4573496,.7446688,.6754646,48427.81
4156,"Al Sahil Bahari","Egypt","2. LMIC",26.27787,31.96136,1.017378,.9893311,1.089171,1.011445,.9935184,.2642204,-.9030232,.0306968,.7857098,1.991056,1.108099,136754.4
4157,"Aulad Ileiu","Egypt","2. LMIC",26.24387,31.94631,1.020123,.9893515,1.089171,.9938237,.9908251,.4629216,-.9019529,-.3623978,.5980043,1.991056,1.111088,66928.04
4158,"Chivhu","Zimbabwe","1. LIC",-19.01073,30.89576,1.00886,1.009123,.4794359,1.03973,.9822571,-.3525285,.1330445,.661691,.0008875,.2061603,.4836836,32266.54
4159,"Balyana","Egypt","3. UMIC",26.19384,32.0052,1.011182,1.000708,1.135034,.9995388,.9882423,-.1844239,-.3074564,-.2349028,.4180085,2.12531,1.147725,403851.3
4160,"Gashikanwa","Burundi","1. LIC",-2.907999,29.89222,1.013423,,.4158964,,,-.0221538,,,,.0201593,.4214789,26851.89
4161,"Buraza","Burundi","1. LIC",-3.749665,29.90298,1.016137,1.028383,.3811874,,.9569581,.1743207,1.141314,,-1.762257,-.0814453,.3873385,21926.59
4162,"Brianka","Ukraine","2. LMIC",48.50946,38.6651,.9868261,1.016128,1.01153,,.9972656,-1.9478,.4997771,,1.046857,1.763773,.9982038,87075.45
4163,"Gitega","Burundi","1. LIC",-3.431627,29.92623,1.040568,1.010906,.3828306,,.9506461,1.943195,.226383,,-2.202151,-.0766352,.3983613,78393.9
4164,"Ni?de","Turkey","3. UMIC",37.96826,34.67484,1.011587,1.003545,1.256586,,.9850539,-.155096,-.1589399,,.1958001,2.481133,1.271145,120301.6
4165,"Kayogoro","Burundi","1. LIC",-4.117177,29.9421,1.040726,1.030191,.3865004,,,1.954605,1.235932,,,-.0658927,.4022408,34941.27
4166,"Rier Market","South Sudan","1. LIC",8.776158,30.12652,,,.2948995,,,,,,,-.3340386,,17759.24
4167,"Leer","South Sudan","2. LMIC",8.307772,30.13717,1.034638,1.002839,.3017883,,,1.513824,-.1959208,,,-.3138726,.3122416,22468.62
4168,"Rutana","Burundi","1. LIC",-3.926128,29.99173,,1.023496,.3811874,,,,.8854681,,,-.0814453,,21836.54
4169,"Mutoyi","Burundi","1. LIC",-3.212262,29.97935,1.00058,1.058715,.3828306,,.9439936,-.9519638,2.729116,,-2.665775,-.0766352,.3830528,22276.44
4170,"Bafra","Turkey","2. LMIC",41.5644,35.90395,1.005063,.9986426,1.210725,,.9963152,-.6274409,-.4155753,,.9806224,2.346883,1.216854,75521.68
4171,"Harare","Zimbabwe","2. LMIC",-17.83565,31.03669,1.015337,1.001937,.5300627,.9928728,.9829912,.1164071,-.2431298,-.3836115,.0520478,.3543614,.538192,1025250
4172,"Kigali","Rwanda","2. LMIC",-1.947299,30.08928,1.026619,.9897763,.478488,,,.9332728,-.8797182,,,.2033853,.4912249,533433.4
4173,"Ntega","Burundi","1. LIC",-2.612667,29.99746,1.021954,1.025782,.4158964,,.953924,.5955014,1.005123,,-1.973707,.0201593,.4250269,31027.05
4174,"Nyabibuye","Burundi","1. LIC",-3.344983,30.00977,,,.3806276,,,,,,,-.0830841,,19518.44
4175,"Alchevsk","Ukraine","2. LMIC",48.46582,38.79834,.9913437,1.011108,1.114481,,.9976497,-1.620718,.2369855,,1.073626,2.065145,1.104833,155014.3
4176,"Naj Kawm Majanin","Egypt","3. UMIC",26.1126,32.08748,.9873685,1.023243,1.135034,.9916276,.9897873,-1.908525,.8722259,-.4113885,.5256836,2.12531,1.120696,128175.5
4177,"Mongbwalu","Democratic Republic of the Congo","1. LIC",1.941378,30.03447,1.020483,1.012974,.6164861,,,.4890302,.3346735,,,.6073511,.6291137,291553.7
4178,"Mvurwi","Zimbabwe","1. LIC",-17.02648,30.84873,1.009133,1.009577,.4823008,,.9815489,-.3327119,.1568269,,-.04847,.2145466,.4867058,27423.31
4179,"N/A","Democratic Republic of the Congo","1. LIC",1.982981,30.0259,,1.012974,.6164861,,,,.3346672,,,.6073511,,44079.45
4180,"Musenyi","Burundi","1. LIC",-2.952503,30.03275,1.010268,,.4243789,,,-.25058,,,,.0449902,.4287363,33642.88
4181,"Dzerzhinsk","Russia","3. UMIC",56.24101,43.44507,.991111,1.011746,.3156676,,.9972546,-1.637566,.2703906,,1.046093,-.2732433,.3128617,52311.26
4182,"Mersin","Turkey","4. HIC",36.80135,34.61478,1.012117,.9961766,1.167316,1.121612,.9939554,-.1167056,-.5446684,2.488349,.8161667,2.219813,1.181461,917866.8
4183,"Bugenyuzi","Burundi","1. LIC",-3.094114,30.06014,1.004147,,.3806276,,.9373546,-.6937178,,,-3.128461,-.0830841,.3822062,19073.11
4184,"Murubona","Tanzania","1. LIC",-4.573197,30.11057,1.027748,.9896281,.3764029,,.9831991,1.014982,-.887472,,.0665368,-.0954514,.3868471,40068
4185,"Kasese","Uganda","1. LIC",.1771203,30.08142,1.026381,1.007793,.5998363,,,.9160023,.0634198,,,.5586119,.6156604,53632.44
4186,"Kirundo","Burundi","1. LIC",-2.589743,30.09197,1.016223,1.035637,.4243789,1.056556,.9501745,.1805781,1.521046,1.037065,-2.235021,.0449902,.4312635,41055.89
4187,"Vumbi","Burundi","1. LIC",-2.684677,30.09439,.9989889,,.4243789,,,-1.067195,,,,.0449902,.4239498,30344.84
4188,"Muyange-Gasoho","Burundi","1. LIC",-2.814946,30.09542,1.016038,,.4243789,1.008755,,.167157,,-.029309,,.0449902,.4311849,38312.41
4189,"Chitungwiza","Zimbabwe","2. LMIC",-18.01287,31.07021,1.015887,1.002361,.5090466,,.9820427,.1562907,-.220945,,-.0140585,.2928403,.517134,228237.8
4190,"Nag Hammadi","Egypt","3. UMIC",26.05306,32.22363,.9900892,1.024112,1.135034,.9886609,.9862298,-1.711542,.9177188,-.477572,.2777538,2.12531,1.123785,371544.2
4191,"Triangle","Zimbabwe","2. LMIC",-21.02094,31.45248,.9853743,1.020228,.4859252,1.004157,.9947219,-2.052908,.7143737,-.1318725,.8695826,.2251565,.4788182,30058.97
4192,"Amasya","Turkey","2. LMIC",40.6571,35.82186,1.019429,1.014965,1.188294,,.9664783,.412681,.4388765,,-1.098773,2.281222,1.211381,82785.03
